name,c25,c50,c75,cav,h25,h50,h75,hav,lat,lon
TU Delft,0.4172661870503597,0.6282051282051282,0.8252427184466019,0.6186965020170433,5,9,18,13.923130193905816,52.0,3.5
TU/e,0.4,0.623342175066313,0.8333333333333334,0.611616653255952,6,10,20,14.989705882352942,51.44860980000001,5.490714799999978
ETH Zurich,0.4829059829059829,0.7029702970297029,0.8604651162790697,0.6636222781345842,6,9,18,15.735294117647058,48,9
Ghent,0.39147286821705424,0.6271929824561403,0.8382352941176471,0.612202062676933,5,10,19,15.81810115350488,51.0465619,3.727918100000011
KU Leuven,0.40184951660361495,0.6322314049586777,0.8373529411764706,0.6162108486566481,5,10,22,16.806306306306308,50.87795449999999,4.700295299999993
Leiden,0.4173434634529735,0.5977961432506887,0.8136645962732919,0.6073917194897365,7,12,23,18.82316313823163,52.5,4.5
EPFL,0.4797687861271676,0.6904761904761905,0.8656716417910447,0.6565231463923837,6,9,19,16.787169811320755,45,5
Amsterdam,0.4303097345132743,0.6246851385390428,0.8064,0.6183119772269802,6,12,23,17.59961127308066,53,5.5
Geneva,0.4126760563380282,0.6070133010882709,0.8135198135198135,0.6087520536684345,6,12,23,18.171717171717173,46.199444,6.145115700000019
Porto,0.39290882778581765,0.5611764705882353,0.7692307692307693,0.5783025897771921,7,11,18,14.397508493771234,41.1465479,-8.615699800000016
Vienna,0.4079895219384414,0.5968406593406593,0.7914438502673797,0.599306692888596,6,11,21,16.44277108433735,48.21318549999999,16.360050399999977
Warsaw,0.5144827586206897,0.6964285714285714,0.8933333333333333,0.6914655667599844,3,6,12,8.854454203262234,52.2403463,21.018601200000035
Zurich,0.3990498812351544,0.5911602209944752,0.81875,0.6005606002021722,7,14,26,19.890147225368064,47.3743221,8.550981200000024
